noFinesset,title,capacity,postcode,city
930705710,Résidence Le clos lamotte,148,93310,LE PRE ST GERVAIS
930003728,EHPAD Résidence Orpea La Chanterelle,96,93310,LE PRE ST GERVAIS
930810221,Résidence Allendé,39,93300,AUBERVILLIERS
930810254,Foyer soleil Edouard Finck,88,93300,AUBERVILLIERS
930023965,EHPAD Les Intemporelles,100,93300,AUBERVILLIERS
930019468,EHPAD La Maison du Soleil,79,93300,AUBERVILLIERS
930460084,EHPAD Constance Mazier,105,93300,AUBERVILLIERS
930020078,EHPAD Solemnes,104,93290,TREMBLAY EN FRANCE
930003397,EHPAD Résidence Le Moulin Vert,73,93290,TREMBLAY EN FRANCE
930700281,AREPA Résidence Vert-Galant,72,93290,TREMBLAY EN FRANCE
930026752,USLD de l'Hôpital René-Muret,0,93270,SEVRAN
930704192,Résidence Les Glycines,75,93270,SEVRAN
930703012,EHPAD Korian Marisol,84,93270,SEVRAN
930703467,Résidence Voltaire,56,93260,LES LILAS
930810635,Résidence Marcel Bou,86,93260,LES LILAS
930025028,EHPAD Orpéa Les Terrasses des Lilas,103,93260,LES LILAS
930019120,EHPAD - Résidence Les Jardins des Lilas,81,93260,LES LILAS
930021522,EHPAD Korian Les Cèdres ,122,93250,VILLEMOMBLE
930705694,Résidence Salvador Allende,60,93240,STAINS
930021068,La Maison de la Vallée des fleurs ,84,93240,STAINS
930707286,EHPAD Saint-Vincent de Paul,110,93240,STAINS
930027073,EHPAD Fondation Léopold Bellan,110,93230,ROMAINVILLE
930018809,USLD la Cerisaie,15,93220,GAGNY
930460019,EHPAD La Cerisaie,116,93220,GAGNY
930703319,USLD Casanova du Centre hospitalier de Saint-Denis,0,93200,ST DENIS
930810908,Résidence Dionysia,56,93200,ST DENIS
930810932,Résidence Basilique,62,93200,ST DENIS
930810924,Résidence Basilique,66,93200,ST DENIS
930019153,La Maison du Laurier Noble ,75,93200,ST DENIS
930706783,Foyer-Logement soleil Pablo Picasso,90,93200,ST DENIS
930705702,Foyer-Logement  Ambroize Croizat,70,93200,ST DENIS
930703301,EHPAD Petites Soeurs des Pauvres,62,93200,ST DENIS
930021043,EHPAD La Maison des Lumières,84,93200,ST DENIS
930800206,EHPAD Casanova du Centre hospitalier Général de Saint-Denis,75,93200,ST DENIS
930700257,Cité Floréal,65,93200,ST DENIS
930701552,Foyer-Résidence Jean-Lebas restaurant Club,102,93190,LIVRY GARGAN
930460050,EHPAD Émile Gérard,250,93190,LIVRY GARGAN
930701586,EHPAD La Roseraie,39,93190,LIVRY GARGAN
930815527,USLD Les Floralies,0,93170,BAGNOLET
930705579,Résidence La butte aux pinsons,48,93170,BAGNOLET
930021571,EHPAD Résidence Marie,80,93170,BAGNOLET
930700208,EHPAD Résidence Les Floralies,84,93170,BAGNOLET
930019344,EHPAD Les Quatre saisons,65,93170,BAGNOLET
930812110,Résidence autonomie Jean Wiener,60,93160,NOISY LE GRAND
930701834,EHPAD Les jardins d'Astrée,57,93160,NOISY LE GRAND
930023148,EHPAD Les Opalines,70,93160,NOISY LE GRAND
930460092,EHPAD La Pierre Angulaire Saint-Joseph,62,93160,NOISY LE GRAND
930810387,EHPAD Korian-Villa Victoria,102,93160,NOISY LE GRAND
930811914,Résidence Maria Valtat,79,93150,LE BLANC MESNIL
930460068,Maison de retraite Gaston Monmousseau,80,93150,LE BLANC MESNIL
930700315,Résidence Arthur Groussier,204,93140,BONDY
930021308,La Maison de l'Eglantier ,90,93140,BONDY
930816301,EHPAD Korian Bonisiaca,115,93140,BONDY
930800263,RPA de Noisy-Le-Sec,49,93130,NOISY LE SEC
930700240,RPA Georges-Clemenceau,43,93130,NOISY LE SEC
930460118,EHPAD Saint-Antoine de Padoue,134,93130,NOISY LE SEC
930019369,EHPAD Jean Viollet,82,93120,LA COURNEUVE
930800768,Résidence Camille Barroy,82,93110,ROSNY SOUS BOIS
930702493,Résidence Ambroise-Croizat,79,93110,ROSNY SOUS BOIS
930023056,EHPAD Résidence Arpage Émile Zola,80,93110,ROSNY SOUS BOIS
930816285,EHPAD Korian Le Tulipier,114,93110,ROSNY SOUS BOIS
930707039,Résidence autonomie Les Ramenas,60,93100,MONTREUIL
930705603,Résidence autonomie Les Blancs vilains,69,93100,MONTREUIL
930025960,EHPAD Résidence les Murs à Pêches,90,93100,MONTREUIL
930018858,EHPAD Résidence Diane Benvenuti,80,93100,MONTREUIL
930816723,EHPAD Les Beaux-Monts,83,93100,MONTREUIL
930021514,EHPAD La Maison des Vergers,91,93100,MONTREUIL
930700216,Résidence Gaston-Monmousseau,72,93000,BOBIGNY
930460100,EHPAD Sainte-Marthe,85,93000,BOBIGNY
930023205,EHPAD Le Clos des Peupliers,100,93000,BOBIGNY
930021084,EHPAD Hector Berlioz,82,93000,BOBIGNY
920813862,USLD du Centre hospitalier de Courbevoie- Neuilly -Puteaux,0,92800,PUTEAUX
920803632,Foyer-Logement Richard-Walace,75,92800,PUTEAUX
920814522,EHPAD Résidence Voltaire,90,92800,PUTEAUX
920030178,USLD de l'Hôpital Louis-Mourier,0,92700,COLOMBES
920022118,Maison de famille les Vallées,80,92700,COLOMBES
920800505,Korian Les Acacias,32,92700,COLOMBES
920801917,Foyer-Logement Résidence Ambroize-Croizat,50,92700,COLOMBES
920005329,EHPAD Résidence Marcelle Devaud,82,92700,COLOMBES
920815396,EHPAD Résidence Esterel,73,92700,COLOMBES
920003043,EHPAD Résidence Azur,72,92700,COLOMBES
920803921,EHPAD Maisons de famille la Roseraie,59,92700,COLOMBES
920803301,EHPAD La Tour d'Auvergne,76,92700,COLOMBES
920028982,EHPAD Korian L'Impérial,125,92700,COLOMBES
920017639,Résidence Médicis Asnières,106,92600,ASNIERES SUR SEINE
920710829,Foyer-Logement Municipal d'Asnières,30,92600,ASNIERES SUR SEINE
920711926,Foyer-Logement Municipal  D'Asnieres,75,92600,ASNIERES SUR SEINE
920811601,Foyer-Logement Communal,66,92600,ASNIERES SUR SEINE
920803103,EHPAD Villa Concorde Maison de Famille,85,92600,ASNIERES SUR SEINE
920014289,EHPAD Résidence Rabelais,75,92600,ASNIERES SUR SEINE
920011749,EHPAD Résidence Port Van Gogh,38,92600,ASNIERES SUR SEINE
920024874,EHPAD Résidence Les Marines,79,92600,ASNIERES SUR SEINE
920815610,EHPAD Résidence Fontaine,86,92600,ASNIERES SUR SEINE
920710621,EHPAD Maison de retraite Aulagnier,190,92600,ASNIERES SUR SEINE
920012788,Accueil de jour les Lilas,20,92600,ASNIERES SUR SEINE
920805298,Résidence autonomie Martignon,59,92500,RUEIL MALMAISON
920803673,Résidence Les Tarâtres,74,92500,RUEIL MALMAISON
920040466,Foyer-Logement Domaine De La Côte Noire,52,92500,RUEIL MALMAISON
920808508,Ehpad Nadar de la Pagerie,77,92500,RUEIL MALMAISON
920019098,EHPAD Résidence La Bruyère,120,92500,RUEIL MALMAISON
920006889,EHPAD La Jonchère ,90,92500,RUEIL MALMAISON
920813797,EHPAD Korian Villa Impératrice ,96,92500,RUEIL MALMAISON
920803681,EHPAD Jules Parent de l'hôpital Stell,78,92500,RUEIL MALMAISON
920710738,EHPAD Emilie de Rodat,87,92500,RUEIL MALMAISON
920803699,EHPAD Cognacq Jay,106,92500,RUEIL MALMAISON
920015468,EHPAD Korian Hauts de Jardy,96,92420,VAUCRESSON
920804317,Foyer-Logement Communal Les-sapins-bleus,31,92410,VILLE D AVRAY
920810470,EHPAD Résidence La villa des sources,47,92410,VILLE D AVRAY
920026507,EHPAD Villa Borghèse,124,92400,COURBEVOIE
920021268,EHPAD Solemnes Courbevoie,93,92400,COURBEVOIE
920025350,EHPAD Résidence Léonard de Vinci,104,92400,COURBEVOIE
920807468,EHPAD Les Chenets,76,92400,COURBEVOIE
920800828,EHPAD GCSMS de l'Union Belge,104,92400,COURBEVOIE
920000155,EHPAD - résidence Ger'Home,112,92400,COURBEVOIE
920010378,Centre d'accueil de jour Alzheimer,13,92400,COURBEVOIE
920810033,Foyer-Logement Résidence Les Nymphéas,83,92390,VILLENEUVE LA GARENNE
920711629,EHPAD Résidence La Méridienne,92,92390,VILLENEUVE LA GARENNE
920805306,Foyer-Logement Les Tilleuls-Marcel-Chappey,58,92380,GARCHES
920022399,EHPAD Résidence de l'Empereur,123,92380,GARCHES
920814621,EHPAD Résidence Isis,52,92380,GARCHES
920812062,EHPAD La Villa d'Epidaure,86,92380,GARCHES
920017308,EHPAD Villa Beau Soleil Chaville,104,92370,CHAVILLE
920805686,Foyer-Logement Résidence Paulette-Spies,62,92350,LE PLESSIS ROBINSON
920711876,Foyer-Logement Résidence Henri Sellier,69,92350,LE PLESSIS ROBINSON
920022928,EHPAD Les 4 Saisons,101,92350,LE PLESSIS ROBINSON
920710811,Foyer-Logement  AREPA  Résidence La Vallée,76,92340,BOURG LA REINE
920803855,EHPAD Molière,47,92340,BOURG LA REINE
920040508,Foyer-Logement Résidence des Imbergères,61,92330,SCEAUX
920460060,EHPAD Résidence La faiencerie,123,92330,SCEAUX
920710753,EHPAD Marguerite Renaudin,85,92330,SCEAUX
920804028,EHPAD Korian Résidence Saint-Charles,72,92330,SCEAUX
920806387,Foyer-Logement Résidence Charlotte-Monfort,74,92320,CHATILLON
920711298,EHPAD Sainte-Anne d'Auray,135,92320,CHATILLON
920025483,EHPAD Résidence retraite du Parc Groupe Emera,102,92320,CHATILLON
920033032,EHPAD Korian Castel Voltaire,82,92320,CHATILLON
920710399,EHPAD Fondation Lambrechts,82,92320,CHATILLON
920026465,Résidence Médicis,108,92310,SEVRES
920802162,EHPAD Résidence Champfleury,138,92310,SEVRES
920804077,EHPAD Jean Rostand ,104,92310,SEVRES
920803186,Résidence Lorraine pour Personnes âgées,52,92300,LEVALLOIS PERRET
920803384,Résidence GREFFULHE pour personnes âgées,90,92300,LEVALLOIS PERRET
920006863,EHPAD Résidence Le Jardin de Levallois,90,92300,LEVALLOIS PERRET
920710696,EHPAD Les Marronniers,120,92300,LEVALLOIS PERRET
920013299,Accueil de jour l'Oasis,15,92300,LEVALLOIS PERRET
920803871,Foyer-Logement Résidence le Titien,36,92290,CHATENAY MALABRY
920040086,Foyer-Logement  Résidence Verdi,48,92290,CHATENAY MALABRY
920812047,EHPAD Thémis Jean-Rostand,106,92290,CHATENAY MALABRY
920003944,EHPAD Résidence Hippocrate,86,92290,CHATENAY MALABRY
920812088,EHPAD Le Séquoia ,75,92290,CHATENAY MALABRY
920300118,Résidence du Cap,76,92270,BOIS COLOMBES
920710712,Maison de retraite Leopold-Bellan,82,92270,BOIS COLOMBES
920803129,Foyer-Logement Résidence André Chenier,76,92270,BOIS COLOMBES
920712569,EHPAD Résidence Sainte-Marthe,73,92270,BOIS COLOMBES
920012838,Accueil de jour les Camélias,10,92270,BOIS COLOMBES
920712064,Résidence Marie Nodier,70,92260,FONTENAY AUX ROSES
920040201,Résidence Le Val Content,46,92260,FONTENAY AUX ROSES
920710381,Maison de retraite du Parc,112,92260,FONTENAY AUX ROSES
920015369,Fonction publique hospitalière l'Abrier,12,92260,FONTENAY AUX ROSES
920814399,EHPAD - résidence Arcade,87,92260,FONTENAY AUX ROSES
920801503,Foyer-Logement Résidence  des Champs Philippe,74,92250,LA GARENNE COLOMBES
920026481,EHPAD Résidence La Tournelle,101,92250,LA GARENNE COLOMBES
920029105,EHPAD Orpea La Garenne,103,92250,LA GARENNE COLOMBES
920022571,la Maison des Poètes,72,92240,MALAKOFF
920801263,Foyer-Logement Résidence Laforest,35,92240,MALAKOFF
920806379,Foyer-Logement Communal Résidence Joliot-Curie,40,92240,MALAKOFF
920006798,La Maison des Cytises ,82,92230,GENNEVILLIERS
920711942,Foyer-Logement Résidence Camille Cartier,72,92230,GENNEVILLIERS
920804887,EHPAD Villa Caroline,76,92230,GENNEVILLIERS
920711967,EHPAD Résidence Repotel,74,92230,GENNEVILLIERS
920800661,Foyer-Logement Résidence du Clos La Paume,77,92220,BAGNEUX
920815750,EHPAD Villa Garlande,90,92220,BAGNEUX
920814712,EHPAD Résidence Les Mathurins,60,92220,BAGNEUX
920006129,EHPAD Le Clos des Meuniers ,99,92220,BAGNEUX
920026366,Résidence de Longchamp,93,92210,ST CLOUD
920804143,Résidence Les Jours Heureux,60,92210,ST CLOUD
920711793,Résidence Les Heures Claires,81,92210,ST CLOUD
920710746,EHPAD Résidences Lelegard,85,92210,ST CLOUD
920807401,Centre de long séjour de l'Hop de Saint-Cloud Pavillon Paste,0,92210,ST CLOUD
920803558,Maison de Retraite de la fondation Marthe-André-Lucas,80,92200,NEUILLY SUR SEINE
920802147,Foyer-Logement Communal de Neuilly,80,92200,NEUILLY SUR SEINE
920813888,Foyer-Logement Beloeuil-Miller,113,92200,NEUILLY SUR SEINE
920006772,EHPAD Résidence Soyer,80,92200,NEUILLY SUR SEINE
920023678,EHPAD Résidence Les bords de Seine,125,92200,NEUILLY SUR SEINE
920710860,EHPAD Roger Teullé,120,92200,NEUILLY SUR SEINE
920718350,EHPAD Galignani,118,92200,NEUILLY SUR SEINE
920813094,Korian Les Tybilles,102,92190,MEUDON
920712312,Foyer-Logement Résidence Le Hameau,74,92190,MEUDON
920019429,EHPAD Résidence du Parc,92,92190,MEUDON
920710704,EHPAD Résidence Le Châtelet,94,92190,MEUDON
920803467,EHPAD Les Terrasses de Meudon,65,92190,MEUDON
920012168,EHPAD Résidence Medicis,110,92170,VANVES
920710423,EHPAD Résidence Larmeroux,58,92170,VANVES
920810942,EHPAD Résidence Arpage Lannelongue,58,92170,VANVES
920026556,EHPAD Maison Soins et Repos,25,92170,VANVES
920005279,Accueil de jour Odilon Lannelongue,15,92170,VANVES
920711835,Résidence autonomie Renaitre,77,92160,ANTONY
920811304,EHPAD Résidence La Chartraine,96,92160,ANTONY
920816436,EHPAD Korian Florian-Carnot,109,92160,ANTONY
920804218,Résidence Albert-Caron,68,92150,SURESNES
920814555,Foyer-Logement Résidence Locarno,77,92150,SURESNES
920811783,EHPAD Résidence Les Vignes,96,92150,SURESNES
920710415,EHPAD Résidence La Chesnaye,100,92150,SURESNES
920024106,EHPAD Korian Les Sarments,108,92150,SURESNES
920000148,EHPAD - résidence Tiers Temps,160,92150,SURESNES
920807963,Résidence autonomie Morambert,57,92140,CLAMART
920015559,La Maison de l'Erable Argenté ,110,92140,CLAMART
920710431,EHPAD Sainte-Émilie,209,92140,CLAMART
920800794,EHPAD Résidence Saint-Joseph,63,92140,CLAMART
920024957,EHPAD Résidence Bel-Air,100,92140,CLAMART
920020559,EHPAD Résidence Alphonse Daudet,102,92140,CLAMART
920710373,EHPAD Maison Ferrari - Ordre de Malte,158,92140,CLAMART
920030160,USLD Paris Ouest Site Celton,0,92130,ISSY LES MOULINEAUX
920813896,Résidence Le Parc,89,92130,ISSY LES MOULINEAUX
920004439,Ehpad Les Neuf Muses,63,92130,ISSY LES MOULINEAUX
920710670,EHPAD Suisse Repotel,88,92130,ISSY LES MOULINEAUX
920813011,EHPAD Résidence Sainte-Lucie,73,92130,ISSY LES MOULINEAUX
920710688,EHPAD Lasserre,131,92130,ISSY LES MOULINEAUX
920807450,Résidence Théophile Gautier,43,92120,MONTROUGE
920810918,Foyer-Logement Résidence La Vanne,102,92120,MONTROUGE
920803996,EHPAD Villa Beausoleil,78,92120,MONTROUGE
920710845,EHPAD Résidence Madeleine Verdier,168,92120,MONTROUGE
920809852,USLD - Fondation Roguet,0,92110,CLICHY
920712544,Résidence autonomie Azur,85,92110,CLICHY
920011848,EHPAD Résidence Les Adrets,88,92110,CLICHY
920809811,EHPAD Fondation Roguet,198,92110,CLICHY
920002508,USLD Les Abondances,0,92100,BOULOGNE BILLANCOURT
920040060,Résidence des Pins,80,92100,BOULOGNE BILLANCOURT
920801107,Foyer-Logement Soleil,45,92100,BOULOGNE BILLANCOURT
920811759,Foyer-Logement  Damien du Ccas de Paris,65,92100,BOULOGNE BILLANCOURT
920805025,EHPAD Résidence du Rouvray,90,92100,BOULOGNE BILLANCOURT
920802154,EHPAD Résidence Sainte-Agnès,81,92100,BOULOGNE BILLANCOURT
920003571,EHPAD Résidence Saint-Benoît,66,92100,BOULOGNE BILLANCOURT
920020849,EHPAD Résidence Orpea Le Corbusier,110,92100,BOULOGNE BILLANCOURT
920710639,EHPAD Les Abondances,132,92100,BOULOGNE BILLANCOURT
920029543,USLD du CASH de Nanterre,0,92000,NANTERRE
920712494,Foyer-Logement Résidence du Parc,60,92000,NANTERRE
920711850,Foyer-Logement Résidence Pasteur,66,92000,NANTERRE
920025251,Foyer-Logement CCAS Centre Communal d'Action Sociale,14,92000,NANTERRE
920710852,EHPAD Sainte-Geneviève,120,92000,NANTERRE
920025202,EHPAD Résidence La Chamade,105,92000,NANTERRE
920710357,EHPAD Maison de retraite Protestante,78,92000,NANTERRE
920015609,EHPAD Les Vignes,79,92000,NANTERRE
920809803,EHPAD CASH de Nanterre,120,92000,NANTERRE
910019413,EHPAD public Simone Veil,108,91940,LES ULIS
910040062,EHPAD Maison Sainte-Hélène,72,91860,EPINAY SOUS SENART
910701507,EHPAD- résidence Hippolyte-Panhard,70,91830,LE COUDRAY MONTCEAUX
910020684,MARPA les Grillons,24,91810,VERT LE GRAND
910040245,Résidence Saint-Thibault,60,91800,BOUSSY ST ANTOINE
910701408,Résidence Les mardelles,75,91800,BRUNOY
910701416,EHPAD Résidence Les Marronniers,92,91800,BOUSSY ST ANTOINE
910805621,EHPAD Résidence La Gentilhommière,100,91800,BOUSSY ST ANTOINE
910811736,EHPAD Résidence La Colombière,82,91800,BRUNOY
910700426,EHPAD Repotel Brunoy,80,91800,BRUNOY
910701382,EHPAD Fondation Gutierrez de Estrada,67,91800,BRUNOY
910040237,Résidence la Boissière,65,91770,ST VRAIN
910019488,EHPAD Moulin de l'épine,90,91770,ST VRAIN
910700244,EHPAD Hautefeuille,77,91770,ST VRAIN
910021963,USLD Henri Mondor Site Clémenceau,0,91750,CHAMPCUEIL
910813120,EHPAD Korian Les jardins de Serena,94,91750,CHAMPCUEIL
910800523,EHPAD Le centenaire,82,91740,PUSSAY
910701580,EHPAD Korian Le Gâtinais,85,91720,MAISSE
910701689,Résidence Albert-Perrissin,70,91700,STE GENEVIEVE DES BOIS
910810639,EHPAD Marcel Paul,80,91700,FLEURY MEROGIS
910017334,EHPAD Les Jardins du Plessis,80,91700,STE GENEVIEVE DES BOIS
910700368,EHPAD La Maison Russe,80,91700,STE GENEVIEVE DES BOIS
910810803,EHPAD,90,91700,STE GENEVIEVE DES BOIS
910021062,Résidence Le Clos Baret,85,91680,BRUYERES LE CHATEL
910701358,EHPA SAINTE CECILE,16,91670,ANGERVILLE
910811116,Résidence Tournebride,59,91660,MEREVILLE
910814078,EHPAD Coallia les Larris,74,91650,BREUILLET
910701374,Résidence Boissière,63,91640,BRIIS SOUS FORGES
910707785,EHPAD Château la Fontaine aux Cossons,73,91640,VAUGRIGNEUSE
910021906,Résidence du Parc,86,91630,MAROLLES EN HUREPOIX
910019041,EHPAD Les Garancières,98,91630,LEUDEVILLE
910005859,EHPAD Les Parentèles de la Ville du Bois,89,91620,LA VILLE DU BOIS
910004159,Résidence de Ballancourt,97,91610,BALLANCOURT SUR ESSONNE
910807148,Le Village retraite,119,91610,BALLANCOURT SUR ESSONNE
910700723,Établissement d'hébergement pour personnes âgées dépendantes,110,91600,SAVIGNY SUR ORGE
910801000,Résidence autonomie Lucien Midol,78,91600,SAVIGNY SUR ORGE
910021492,Résidence autonomie Jean-Morigny,52,91600,SAVIGNY SUR ORGE
910002351,Résidence autonomie César Franck,32,91600,SAVIGNY SUR ORGE
910815018,EHPAD Résidence Les Cèdres,80,91600,SAVIGNY SUR ORGE
910015759,Accueil de jour Maison Alzheimer,15,91600,SAVIGNY SUR ORGE
910700715,EHPAD Maison de Retraite Degommier,73,91590,CERNY
910700731,EHPAD Amodru,84,91590,LA FERTE ALAIS
910017888,EHPAD Le Clos d'étrechy,90,91580,ETRECHY
910805837,Maison de famille les Étangs,91,91540,MENNECY
910807023,Foyer-Logement Intergenerations Résidence  Edouard  Gauraz,84,91540,MENNECY
910015189,Accueil de jour Coallia,14,91530,ST CHERON
910811728,USLD du Centre hospitalier d'Arpajon,0,91520,EGLY
910021153,MARPA Les jardins de Saint Laurent,26,91490,MILLY LA FORET
910702224,EHPAD Notre-Dame d'Espérance,74,91490,MILLY LA FORET
910701879,RPA  AREPA,71,91480,QUINCY SOUS SENART
910000231,EHPAD Le Moulin vert,70,91480,QUINCY SOUS SENART
910806215,EHPAD Korian Tamias,81,91480,QUINCY SOUS SENART
910003938,EHPAD Desfontaines,90,91480,QUINCY SOUS SENART
910811314,Foyer-Logement AREFO,67,91470,LIMOURS
910813138,EHPAD Le Village,80,91470,ANGERVILLIERS
910807130,Foyer Collectif la balloterie,15,91460,MARCOUSSIS
910015015,EHPAD Résidence du Parc de Bellejame,92,91460,MARCOUSSIS
910808682,EHPAD Repotel Marcoussis,67,91460,MARCOUSSIS
910701713,EHPAD Résidence Les Tilleuls,52,91450,SOISY SUR SEINE
910811108,EHPAD - résidence Les Hautes Futaies,68,91450,SOISY SUR SEINE
910019025,EHPAD Korian Coteaux de l'Yvette,88,91440,BURES SUR YVETTE
910701424,EHPA IRIA MASSABIELLE,11,91440,BURES SUR YVETTE
910811363,Foyer-Logement Les belleaunes,44,91430,IGNY
910808500,EHPA ABBAYE SAINT LOUIS DU TEMPLE,31,91430,VAUHALLAN
910019462,SEGA Maison Geneviève-Laroque EHPAD,103,91420,MORANGIS
910702232,Résidence Gabriel Fontaine,80,91420,MORANGIS
910810647,Unité de soins de longue durée de Dourdan,0,91410,DOURDAN
910800473,Résidence Les mésanges,40,91410,DOURDAN
910460088,EHPAD René Legros,83,91410,DOURDAN
910813450,EHPAD Les Jardins de Roinville,80,91410,ROINVILLE
910040054,EHPAD Jean Sarran,111,91410,DOURDAN
910813815,EHPAD Colombier de Corbreuse,60,91410,CORBREUSE
910702257,Résidence Saint Laurent,80,91400,ORSAY
910813146,Résidence La futaie,48,91400,ORSAY
910016377,EHPAD La Martinière,90,91400,SACLAY
910014869,Accueil de jour Résidence La Futaie,10,91400,ORSAY
910015148,La Maison des Merisiers ,94,91390,MORSANG SUR ORGE
910002187,EHPAD Résidence Arpage Louis Pasteur,62,91380,CHILLY MAZARIN
910701739,Résidence Association  RPA,77,91370,VERRIERES LE BUISSON
910460096,EHPAD Résidence du Bois,117,91370,VERRIERES LE BUISSON
910460104,EHPAD Maison Saint-Charles,83,91370,VERRIERES LE BUISSON
910700327,EHPAD Léon Maugé,86,91370,VERRIERES LE BUISSON
910805878,Foyer-Logement  Les hauts graviers,49,91360,EPINAY SUR ORGE
910802289,EHPAD du Château de Villemoisson,96,91360,VILLEMOISSON SUR ORGE
910013978,EHPAD du Breuil,84,91360,EPINAY SUR ORGE
910816024,EHPAD Résidence Mosaïque,62,91360,VILLEMOISSON SUR ORGE
910700418,EHPAD Résidence Bellevue,65,91360,EPINAY SUR ORGE
910017250,EHPAD Perray Vaucluse,96,91360,EPINAY SUR ORGE
910815026,EHPAD Le Cercle des Ainés,60,91360,EPINAY SUR ORGE
910701515,EHPAD Le Bois Joli,90,91350,GRIGNY
910808807,Résidence Sofia,87,91330,YERRES
910813583,Résidence Asphodia,132,91330,YERRES
910805829,Foyer-Logement De Yerres,70,91330,YERRES
910013929,La Maison de la châtaigneraie ,84,91310,LEUVILLE SUR ORGE
910806074,EHPAD Korian Château de Lormoy,161,91310,LONGPONT SUR ORGE
910700236,EHPAD File Étoupe,94,91310,MONTLHERY
910801034,Résidence Les pervenches,80,91300,MASSY
910021161,Résidence Les hibiscus,170,91300,MASSY
910040112,EHPAD Résidence Massy-Vilmorin,115,91300,MASSY
910803477,EHPAD La Citadine,77,91300,MASSY
910811272,Résidence Les Tamaris,80,91290,ARPAJON
910800945,EHPAD Le Village,134,91290,ARPAJON
910814557,La Maison du Cèdre Bleu ,138,91280,ST PIERRE DU PERRAY
910801059,Résidence autonomie Gaston Grinbaum,70,91270,VIGNEUX SUR SEINE
910700319,EHPAD Résidence Retraite du Cinema et du Spectacle,130,91270,VIGNEUX SUR SEINE
910006279,EHPAD  Camille Desmoulins,83,91260,JUVISY SUR ORGE
910016849,MARPA de Sénart,25,91250,TIGERY
910815281,EHPAD La fontaine Médicis,73,91250,ST GERMAIN LES CORBEIL
910701697,EHPAD Château de Champlâtreux,89,91250,SAINTRY SUR SEINE
910800531,Résidence Autonomie Debussy,82,91240,ST MICHEL SUR ORGE
910002427,EHPAD Les Grouettes,53,91240,ST MICHEL SUR ORGE
910017961,Maison Familliale Les Cèdres,19,91230,MONTGERON
910701622,EHPAD Melavie,90,91230,MONTGERON
910814649,EHPAD Le Manoir,84,91230,MONTGERON
910701614,EHPAD Korian Le Flore,112,91230,MONTGERON
910008358,EHPAD Les Jardins du Lac,83,91220,BRETIGNY SUR ORGE
910021955,USLD Henri Mondor Site Joffre,0,91210,DRAVEIL
910800440,Résidence Du parc,77,91210,DRAVEIL
910021138,EHPAD public de Draveil,142,91210,DRAVEIL
910800465,EHPAD Résidence Le Clos Fleuri,77,91210,DRAVEIL
910300110,EHPAD Résidence Granger,38,91210,DRAVEIL
910800499,Résidence Jean Rostand,75,91200,ATHIS MONS
910002310,Foyer de la Cour,17,91200,ATHIS MONS
910019058,EHPAD Résidence du Plateau,81,91200,ATHIS MONS
910810795,EHPAD Le Moulin Vert,80,91200,ATHIS MONS
910806355,EHPAD  SAINT JEAN BAPTISTE DE LA SALLE,49,91200,ATHIS MONS
910812593,EHPA ACCUEIL TEMP ET ACCUEIL DE JOUR,10,91200,ATHIS MONS
910814508,EHPAD Résidence des Chênes Verts,67,91190,GIF SUR YVETTE
910004589,EHPAD Résidence de l'Orge,76,91180,ST GERMAIN LES ARPAJON
910805480,Résidence La forêt,106,91170,VIRY CHATILLON
910701788,Résidence Husson,80,91170,VIRY CHATILLON
910805811,RPA Le Coteau,40,91170,VIRY CHATILLON
910009638,EHPAD La résidence Médicis,70,91170,VIRY CHATILLON
910701804,EHPAD La Roseraie,53,91170,VIRY CHATILLON
910805803,Résidence Avril,61,91160,LONGJUMEAU
910701572,Foyer Madeleine chemin,39,91160,LONGJUMEAU
910701564,Foyer Automne,53,91160,LONGJUMEAU
910701853,EHPAD Les Myosotis,74,91160,LONGJUMEAU
910015809,EHPAD Europa,70,91160,BALLAINVILLIERS
910701762,EHPAD Ermitage,80,91160,LONGJUMEAU
910815992,Centre de soins de longue durée Les Magnolias,0,91160,BALLAINVILLIERS
910806363,USLD Centre hospitalier Sud-Essonne Dourdan-Etampes,0,91150,ETAMPES
910807155,Résidence Clairfontaine,78,91150,ETAMPES
910701481,EHPAD Saint-Joseph,94,91150,ETAMPES
910800929,EHPAD Résidence du petit Saint-Mars,126,91150,ETAMPES
910812544,EHPAD Domaine de la Chalouette,91,91150,MORIGNY CHAMPIGNY
910707405,Résidence Alphonse Daudet,80,91140,VILLEBON SUR YVETTE
910701663,EHPAD Le Manoir,46,91130,RIS ORANGIS
910700525,EHPAD Château Dranem,97,91130,RIS ORANGIS
910700293,EHPAD La pie voleuse,87,91120,PALAISEAU
910800481,Résidence Bernardin-de-Saint-Pierre,80,91100,CORBEIL ESSONNES
910013879,La Maison des Clématites ,80,91100,CORBEIL ESSONNES
910800978,EHPAD Galignani,84,91100,CORBEIL ESSONNES
910702265,Résidence Le béguinage,70,91090,LISSES
910000157,EHPAD Les Jardins de Cybele,84,91070,BONDOUFLE
910801026,Résidence autonomie Jean-Philippe Rameau,79,91000,EVRY
910019470,EHPAD Louise Michel,72,91000,EVRY
910805449,EHPAD Les Tisserins,82,91000,EVRY
910013218,EHPAD - résidence Médicis,74,91000,EVRY
900002056,EHPAD Le Chenois Bavillers,189,90800,BAVILLIERS
900003427,EHPAD Bavilliers,98,90800,BAVILLIERS
